"","lat","lon","Complaint.Type","Identifier","Severity"
"13309",43.0481221,-76.1474244,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","091.-03-02.0",31
"13329",43.071696,-76.138676,"Property Maintenance-Ext; Property Maintenance-Ext","010.-06-17.0",12
"13358",43.02069,-76.147783,"Property Maintenance-Ext","077.-21-08.0",11
"13366",43.062709,-76.126478,"Property Maintenance-Int; Property Maintenance-Int","019.-10-06.0",12
"13370",43.046968,-76.105787,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","038.-12-22.0",13
"13375",43.022098,-76.158925,"Property Maintenance-Int; Infestation","078.-01-28.0",12
"13387",43.019474,-76.160083,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","078.-16-23.0",13
"13389",34.0486366,-86.0585442,"Property Maintenance-Int; Property Maintenance-Int","073.-24-17.0",12
"13391",43.059156,-76.119123,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","028.-17-01.0",35
"13404",43.034308,-76.175429,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-24-22.0",15
"13409",43.027577,-76.142753,"Property Maintenance-Int; Property Maintenance-Int","084.-12-23.0",12
"13418",43.070132,-76.123373,"Building W/O Permit","013.-10-08.0",11
"13423",43.072421,-76.159805,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","002.-20-19.0",14
"13439",43.035496,-76.172949,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-18-05.0",13
"13448",43.063212,-76.14993,"Property Maintenance-Ext; Property Maintenance-Ext","009.-16-12.0",12
