"","lat","lon","Complaint.Type","Identifier","Severity"
"86",43.0364273,-76.1792877,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","091.-04-25.0",18
"98",42.005578,-76.53903,"Building W/O Permit; Building W/O Permit; Building W/O Permit","112.-02-17.0",13
"121",43.036001,-76.17164,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","092.-16-03.0",24
"227",43.064887,-76.143762,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-22-17.0",16
"238",43.05061,-76.091613,"Zoning Violations","034.-11-13.0",11
"239",43.013816,-76.145525,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","076.-14-14.0",20
"379",43.01494,-76.152389,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Trash/Debris-Private, Occ; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-12-24.0",34
"403",43.0254199,-76.174458,"Complaint Reqst - General","082.-08-52.0",11
"475",43.054381,-76.129129,"Water Shop:All Complaints; Water Shop:All Complaints; Water Shop:All Complaints; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-15-12.0",16
"632",43.059735,-76.1232409,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","019.-20-05.0",36
"806",43.02156,-76.156584,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","078.-03-31.0",31
"903",43.0424859,-76.1651849,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","097.-01-58.0",31
"958",43.061807,-76.151451,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int","008.-04-11.0",30
"999",43.028532,-76.14934,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","084.-28-16.0",26
"1055",43.0141599,-76.165926,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","074.-09-14.0",14
"1080",43.016604,-76.149827,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","075.-07-25.0",18
"1173",43.003576,-76.143309,"Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","071.-21-09.0",16
"1205",43.028708,-76.152158,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-01-29.0",15
"1361",43.0269541,-76.1472421,"Trash/Debris-Private, Occ","084.-22-17.0",11
"1424",43.014632,-76.145762,"Property Maintenance-Int; Property Maintenance-Int","076.-15-15.0",12
"1471",43.020106,-76.153613,"Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","078.-11-10.0",131
"1475",43.05026,-76.194916,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","111.-01-13.0",14
"1490",43.032008,-76.168312,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","087.-05-24.0",18
"1495",43.069185,-76.149895,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","007.-24-31.0",26
"1530",43.055161,-76.145661,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","017.-17-12.0",22
"1702",43.022177,-76.144788,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","077.-18-02.0",20
"1708",43.038151,-76.175011,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-03-21.0",13
"1713",43.04745,-76.114971,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","037.-02-09.0",14
"1861",43.071098,-76.151506,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Ext; Property Maintenance-Ext","006.-13-02.0",24
"1938",43.0386914,-76.0802096,"Zoning Violations","040.-05-04.0",11
"2068",43.063024,-76.1563,"Bed Bugs; Bed Bugs; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","007.-35-26.0",26
"2146",43.077397,-76.156421,"Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Int","003.-16-19.0",15
"2234",43.0507289,-76.091436,"Zoning Violations","034.-11-12.0",11
"2300",43.0714662,-76.1058881,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","023.-11-19.0",18
"2310",43.027724,-76.149648,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","084.-27-12.0",42
"2365",43.0252701,-76.1722137,"Overgrowth: Private, Occ; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","082.-02-13.0",14
"2366",43.0450329,-76.187856,"Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","110.-11-53.0",18
"2526",43.054384,-76.175135,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","108.2-01-02.0",21
"2553",43.058481,-76.145544,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","016.-05-44.0",14
"2608",43.039903,-76.168718,"Property Maintenance-Int; Property Maintenance-Int; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Infestation; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Ext","097.-13-06.0",34
"2647",37.2803067,-121.856911,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","027.-23-18.0",13
"2730",43.038117,-76.176335,"Trash/Debris-Private, Occ","092.-01-14.0",11
"2758",43.0481221,-76.1474244,"Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown","085.-05-22.0",13
"2773",43.043987,-76.166701,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","100.-15-18.1",15
"2927",32.5361715,-82.920519,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-22-12.0",14
"2987",43.0576859,-76.1515359,"Building W/O Permit","017.-03-02.0",11
"3030",43.065492,-76.143589,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","009.-21-34.0",14
"3033",43.070867,-76.149984,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","006.-12-88.0",19
"3041",43.062631,-76.122812,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","019.-18-10.0",21
"3052",43.060733,-76.152009,"Property Maintenance-Ext","008.-11-03.0",11
"3111",43.071196,-76.151434,"Illegal Trash Set Out; Illegal Trash Set Out; Property Maintenance-Int","006.-13-03.0",13
"3125",43.024417,-76.145146,"Vacant Lot: Overgrown; Vacant Lot: Overgrown; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-03-04.0",15
"3174",43.018476,-76.14152,"Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-05-06.0",19
"3179",43.022639,-76.150791,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","078.-07-19.0",13
"3254",43.038675,-76.122201,"Illegal Trash Set Out; Illegal Trash Set Out","046.-02-39.0",12
"3269",43.055036,-76.136611,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","018.-03-70.0",35
"3312",43.029141,-76.155117,"Building W/O Permit; Building W/O Permit; Building W/O Permit; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-12-44.0",16
"3359",43.0271954,-76.172403,"Complaint Reqst - General; Complaint Reqst - General","082.-03-50.0",12
"3518",43.0069116,-76.1537812,"Building W/O Permit; Building W/O Permit; Building W/O Permit","070.-07-03.0",13
"3612",43.070328,-76.145943,"Property Maintenance-Ext; Property Maintenance-Ext","010.-20-07.0",12
"3637",43.047607,-76.121749,"Property Maintenance-Int; Property Maintenance-Int","047.-04-13.0",12
"3692",43.018733,-76.141658,"Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-05-08.0",18
"3712",43.031882,-76.157208,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-07-23.0",14
"3725",43.036446,-76.170335,"Property Maintenance-Int; Property Maintenance-Int","092.-04-21.0",12
"3727",43.047919,-76.131279,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","048.-08-19.0",13
"3751",43.061641,-76.14975,"Property Maintenance-Ext","009.-17-65.0",11
"3752",43.054578,-76.1409879,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","018.-11-11.0",13
"3772",43.030895,-76.188575,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","089.-06-03.0",18
"3798",34.2756808,-85.2153973,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","027.-02-19.0",13
"3829",43.05688,-76.147497,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext","017.-08-10.0",20
"3923",43.068435,-76.144586,"Property Maintenance-Ext","010.-26-14.0",11
"3969",41.8058441,-71.3564901,"Property Maintenance-Int; Property Maintenance-Int","079.-11-23.0",12
"4054",43.068473,-76.152378,"Property Maintenance-Int; Property Maintenance-Int","007.-27-03.0",12
"4076",43.071598,-76.1409259,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","010.-05-30.0",29
"4082",43.028522,-76.14303,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-09-19.0",13
"4085",43.061571,-76.151393,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","008.-04-16.0",13
"4088",43.0437269,-76.15652,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","101.-22-03.0",14
"4091",43.037769,-76.164199,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","097.-09-31.0",17
"4100",43.073608,-76.164056,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Overgrowth: Private, Occ","002.-05-05.0",24
"4129",43.062788,-76.149787,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-16-49.0",14
"4141",43.015796,-76.149598,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-08-24.0",15
"4209",43.035231,-76.17347,"Illegal Trash Set Out; Illegal Trash Set Out; Illegal Trash Set Out; Illegal Trash Set Out","092.-18-15.0",14
"4301",43.073754,-76.156615,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","003.-23-11.0",21
"4325",43.054531,-76.170947,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","108.2-04-08.0",14
"4389",43.076377,-76.160946,"Property Maintenance-Int; Property Maintenance-Int","003.-02-17.0",12
"4394",43.0873292,-76.8847548,"Bed Bugs; Property Maintenance-Int","111.-13-09.0",12
"4408",43.0558539,-76.132445,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int","029.-02-07.0",21
"4496",43.075117,-76.162362,"Illegal Trash Set Out; Illegal Trash Set Out; Property Maintenance-Ext; Property Maintenance-Ext","003.-01-25.1",14
"4557",43.041754,-76.161445,"Property Maintenance-Int; Property Maintenance-Int","097.-03-26.0",12
"4560",43.0678362,-76.1602059,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","007.-02-05.0",13
"4571",43.039444,-76.162377,"Property Maintenance-Int; Trash/Debris-Private, Occ; Trash/Debris-Private, Occ","097.-08-29.0",13
"4629",43.022853,-76.144488,"Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown; Vacant Lot: Overgrown; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-03-16.0",18
"4673",43.027993,-76.152605,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","083.-03-05.0",15
"4678",42.466295,-79.1732619,"Property Maintenance-Ext; Property Maintenance-Ext","016.-05-02.0",12
"4840",39.7859844,-93.5530646,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","016.-09-12.0",16
"4925",43.036812,-76.171926,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","092.-04-50.0",15
"4950",43.06075,-76.196605,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","113.-01-08.0",14
"4968",43.044695,-76.162517,"Property Maintenance-Ext; Property Maintenance-Ext","100.-23-46.0",12
"4969",43.019943,-76.163146,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","079.-10-21.0",13
"4984",43.03515,-76.177567,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","091.-12-09.0",29
"5018",43.068276,-76.144707,"Illegal Trash Set Out; Illegal Trash Set Out; Bed Bugs","010.-26-16.0",13
"5062",43.048724,-76.107116,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","035.-07-31.0",16
"5097",43.072218,-76.162644,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","002.-08-27.0",45
"5105",43.034422,-76.177437,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","091.-12-16.0",13
"5132",43.033641,-76.173739,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","092.-22-02.0",32
"5157",42.349207,-83.004362,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","013.-02-14.0",15
"5158",43.0297849,-76.1547949,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","086.-12-22.0",13
"5231",43.080042,-76.1541979,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","003.-19-17.0",17
"5243",43.063474,-76.1432449,"Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","015.-10-27.0",15
"5304",43.049853,-76.09239,"Zoning Violations","034.-11-18.0",11
"5310",43.068387,-76.145616,"Complaint Reqst - General; Complaint Reqst - General","010.-26-25.0",12
"5358",33.3513175,-80.678416,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","109.-08-16.0",22
"5477",43.0228751,-76.1490237,"Illegal Trash Set Out; Illegal Trash Set Out","077.-24-31.0",12
"5490",42.2468142,-71.4304205,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","007.-32-26.0",17
"5516",43.026112,-76.148497,"Complaint Reqst - General; Complaint Reqst - General","084.-23-08.0",12
"5621",43.065849,-76.14371,"Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","009.-21-31.0",21
"5626",43.065152,-76.142099,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","015.-01-18.0",13
"5646",43.054573,-76.129775,"Property Maintenance-Ext; Property Maintenance-Ext","029.-15-47.2",12
"5705",43.0169659,-76.149844,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General","075.-07-04.0",19
