Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Address,Zip Code
60570,1136,8844,3,1,No,1950,2,1,2,45,1237,No,23,26,0.4,108 Ellen St,13208
83625,1572,4000,3,1,Yes,1920,2,1,2,32,1626,No,26,24,0.4,1037 Wadsworth St,13208
115740,2814,5940,7,3,No,1925,1,1,2,64,1841,No,14,23,1.6,316 Shonnard St,13204
54782,1394,1742,6,2,No,1910,1,1,2,70,665,No,19,22,2,420 Merriman Ave,13204
56172,1712,3049,4,2,No,1900,1,1,2,70,909,No,19,22,2,418 Merriman Ave,13204
89842,1600,4356,5,2,No,1870,1,1,2,70,715,No,18,27,2,661 Gifford St,13204
65809,1590,5808,3,1,No,1925,1,1,2,71,2630,No,20,28,1.8,519 Seymour St,13204
53516,1131,4356,4,1.5,No,1870,1,1,2,69,739,No,18,30,1.8,607 Gifford St,13204
110654,2452,6600,6,3,No,1920,1,1,2,71,1160,No,17,21,1.8,411 Seymour St,13204
87943,2284,1320,6,2,Yes,1900,1,1,2,80,821,No,14,23,1.5,314 Seymour St,13204
143473,3618,4356,8,3,No,1930,1,1,4,77,715,No,12,26,1.6,333 Gifford St,13204
102641,2708,4356,4,2,No,1925,1,1,4,77,857,No,12,28,1.6,331 Gifford St,13204
182000,1200,67953.6,2,1,No,1940,1,1,2,81,0,No,6,15,3.9,917 Madison St.,13210
159900,1065,0,2,1,No,1940,1,1,2,82,746,No,14,15,3.9,917 Madison St.,13210
159900,1455,0,2,2,No,1940,1,1,2,81,1395,No,8,15,3.9,917 Madison St.,13210
100000,1093,6098,3,1,Yes,1943,2,1,2,44,1344,No,8,20,2.7,516 Darlington Rd,13208
61111,1829,3049,5,2,No,1930,1,2,1,61,2014,No,8,4,2.8,119 Essex St,13204
69900,864,3920,3,1,Yes,1952,2,1,2,44,1100,No,13,21,2.9,375 Pleasantview Ave,13208
69900,1252,4356,4,1,No,1910,1,2,1,65,1398,No,9,9,2,824 Avery Ave.,13204
63900,1743,3484,4,2,No,1935,1,2,1,60,2003,No,8,4,2.2,205 Essex,13204
44900,1284,2613,3,1.5,Yes,1925,1,2,1,52,1392,No,7,8,2.1,112 Coykendall Ave,13204
56000,1590,3484,4,2,Yes,1840,1,2,1,66,1574,No,6,9,2.2,418 Chemung St.,13204
79900,949,5227,2,2,Yes,1925,2,1,2,56,907,No,5,18,2.2,245 Dale St # 47,13208
64900,1292,11325.6,3,2,No,1920,1,2,1,59,875,No,4,11,2.2,112 Kincaid Ave.,13204
13203,3627,2613,7,5,No,1910,1,3,2,78,0,No,0.4,0,1,705 Lodi St,13203
61170,1248,3703,2,2,Yes,1988,1,3,2,81,0,No,0.4,0,1,606 Lodi St,13203
89900,1176,4791,3,1,Yes,1925,2,1,2,48,1596,No,7,21,2.2,172 Loma Ave,13208
39900,1910,4356,3,0,No,1900,1,2,1,60,1536,No,6,9,1.9,934 Emerson Ave.,13204
89000,1313,3795,3,2,No,1906,1,2,1,48,0,No,0.6,0.1,3.3,536 Bryant Ave,13204
132000,1786,4093,3,1.5,No,1910,1,2,1,56,1620,No,0.6,0.1,3.3,301 S Avery Ave,13204
97888,1578,4125,3,1.5,Yes,1928,1,2,1,54,1934,No,0.6,0.1,3.3,447 Whittier Ave,13204
